MAIN.PRIVATE_GAME	Private Game
REGIONS.REGION.ZA	South Africa
REGIONS.REGION.SA	South America
REGIONS.REGION.KR	South Korea
REGIONS.REGION.TR	Turkey
REGIONS.REGION.UAE	United Arab Emirates
REGIONS.REGION.US	USA East
REGIONS.REGION.USW	USA West
REGIONS.REGION.USSC	USA South Central
SAVES.SAVE_INFO.SORRY	Sorry!
SAVES.SAVE_INFO.PRESS_DELETE	Press "Delete Save" to delete \nentire saves folder.
SAVES.SAVE_INFO.PLAYER_LIST	{players:list:{}|,   |   and   }
SAVES.SAVE_INFO.CORRUPTED_SAVE_FILE	Corrupted Save File
SAVES.SAVE_FILE.UH_OH	Uh Oh!
SAVES.SAVE_FILE.CORRUPTED_SAVE_FILE	Corrupted Save File
SAVES_RENAME.RENAME_SAVE	Rename Save
SAVES_RENAME.BACK	Back
SAVES_RENAME.CONFIRM	Confirm
SAVES.SAVE_INFO.CLICK_TO_RENAME	(Click to Rename)
SETTINGS.HEADER	Settings
SETTINGS.GAMEPLAY	Gameplay
SETTINGS.GRAPHICS	Graphics
SETTINGS.AUDIO	Audio
SETTINGS.CONTROLS	Controls
SETTINGS.LANGUAGE	Language
SETTINGS.BACK	Back
SETTINGS.BOOL.ON	On
SETTINGS.BOOL.OFF	Off
SETTINGS.BOOL.TOGGLE	Toggle
SETTINGS.BOOL.HOLD	Hold
SETTINGS.GAMEPLAY.HEADER	Gameplay
SETTINGS.GAMEPLAY.RESET_TO_DEFAULT_SETTINGS	Reset to Default Settings
SETTINGS.GAMEPLAY.TIPS	Tips
SETTINGS.GAMEPLAY.PLAYER_NAMES	Player Names
SETTINGS.GAMEPLAY.PHOTOSENSITIVITY	Photosensitivity
SETTINGS.GAMEPLAY.ARACHNOPHOBIA	Arachnophobia
SETTINGS.GAMEPLAY.AIM_SENSITIVITY	Aim Sensitivity
SETTINGS.GAMEPLAY.CAMERA_SMOOTHING	Camera Smoothing
SETTINGS.GAMEPLAY.CAMERA_SHAKE	Camera Shake
SETTINGS.GAMEPLAY.CAMERA_NOISE	Camera Noise
SETTINGS.GAMEPLAY.CAMERA_ANIMATION	Camera Animation
SETTINGS.GAMEPLAY.INVERT_VERICAL_AIM	Invert Vertical Aim
SETTINGS.GAMEPLAY.ITEM_UNEQUIP_AUTO_HOLD	Item Unequip Auto Hold
SETTINGS.GAMEPLAY.RICH_PRESENCE	Rich Presence
SETTINGS.GAMEPLAY.COSMETICS	Cosmetics
SETTINGS.GRAPHICS.RESET_TO_DEFAULT_SETTINGS	Reset to Default Settings
SETTINGS.GRAPHICS.WINDOW_MODE	Window Mode
SETTINGS.GRAPHICS.VSYNC	VSync
SETTINGS.GRAPHICS.GAMMA	Gamma
SETTINGS.GRAPHICS.MAX_FPS	Max FPS
SETTINGS.GRAPHICS.LIGHT_DISTANCE	Light Distance
SETTINGS.GRAPHICS.SHADOW_QUALITY	Shadow Quality
SETTINGS.GRAPHICS.SHADOW_DISTANCE	Shadow Distance
SETTINGS.GRAPHICS.MOTION_BLUR	Motion Blur
SETTINGS.GRAPHICS.LENS_DISTORTION	Lens Distortion
SETTINGS.GRAPHICS.BLOOM	Bloom
SETTINGS.GRAPHICS.CHROMATIC_ABERRATION	Chromatic Aberration
SETTINGS.GRAPHICS.GRAIN	Grain
SETTINGS.GRAPHICS.GLITCH_LOOP	Glitch Loop
SETTINGS.GRAPHICS.PIXELATION	Pixelation
SETTINGS.AUDIO.HEADER	Audio
SETTINGS.AUDIO.RESET_TO_DEFAULT_SETTINGS	Reset to Default Settings
SETTINGS.AUDIO.MASTER_VOLUME	Master Volume
SETTINGS.AUDIO.MUSIC_VOLUME	Music Volume
SETTINGS.AUDIO.PROXIMITY_VOICE_VOLUME	Proximity Voice Volume
SETTINGS.AUDIO.MICROPHONE	Microphone
SETTINGS.AUDIO.MICROPHONE_VOLUME	Microphone Volume
SETTINGS.AUDIO.PUSH_TO_TALK	Push to Talk
SETTINGS.CONTROLS.HEADER	Controls
SETTINGS.CONTROLS.RESET_TO_DEFAULT_SETTINGS	Reset to Default Settings
SETTINGS.CONTROLS.MOVEMENT	Movement
SETTINGS.CONTROLS.MOVE_FORWARD	Move Forward
SETTINGS.CONTROLS.MOVE_LEFT	Move Left
SETTINGS.CONTROLS.MOVE_BACK	Move Back
SETTINGS.CONTROLS.MOVE_RIGHT	Move Right
SETTINGS.CONTROLS.JUMP	Jump
SETTINGS.CONTROLS.CROUCH	Crouch
SETTINGS.CONTROLS.SPRINT	Sprint
SETTINGS.CONTROLS.TUMBLE	Tumble
SETTINGS.CONTROLS.GRABBING	Grabbing
SETTINGS.CONTROLS.GRAB	Grabbing
SETTINGS.CONTROLS.ROTATE	Rotate
SETTINGS.CONTROLS.PUSH	Push
SETTINGS.CONTROLS.PULL	Pull
SETTINGS.CONTROLS.OTHER	Other
SETTINGS.CONTROLS.MAP	Map
SETTINGS.CONTROLS.INTERACT	Interact
SETTINGS.CONTROLS.INVENTORY_1	Inventory 1
SETTINGS.CONTROLS.INVENTORY_2	Inventory 2
SETTINGS.CONTROLS.INVENTORY_3	Inventory 3
SETTINGS.CONTROLS.CHAT	Chat
SETTINGS.CONTROLS.CONFIRM	Confirm
SETTINGS.CONTROLS.BACK	Back
SETTINGS.CONTROLS.MENU	Menu
SETTINGS.CONTROLS.SPECTATE_NEXT	Spectate Next
SETTINGS.CONTROLS.SPECTATE_PREVIOUS	Spectate Previous
SETTINGS.CONTROLS.PUSH_TO_TALK	Push to Talk
SETTINGS.CONTROLS.TOGGLE_MUTE	Toggle Mute
SETTINGS.CONTROLS.PLAYER_EXPRESSIONS	Player Expressions
SETTINGS.LANGUAGE.HEADER	Language
COSMETICS.CATEGORY.PRESETS	Presets
COSMETICS.CATEGORY.HEAD	Head
COSMETICS.CATEGORY.ARMS	Arms
COSMETICS.CATEGORY.BODY	Body
COSMETICS.CATEGORY.LEGS	Legs
COSMETICS.CONFIRM	Confirm
COSMETICS.COLOR.HEADER	Select Color
COSMETICS.COLOR.CONFIRM	Confirm
COSMETICS.PRESET.DELETE	Delete
COSMETICS.TYPE.HAT	Hat
COSMETICS.TYPE.ARM_RIGHT	Armwear Right
COSMETICS.TYPE.ARM_LEFT	Armwear Left
COSMETICS.TYPE.LEG_RIGHT	Legwear Right
COSMETICS.TYPE.LEG_LEFT	Legwear Left
COSMETICS.TYPE.HEAD_TOP_MESH	Head Top
COSMETICS.TYPE.HEAD_BOTTOM_MESH	Head Bottom
COSMETICS.TYPE.BODY_TOP_MESH	Body Top
COSMETICS.TYPE.BODY_BOTTOM_MESH	Body Bottom
COSMETICS.TYPE.ARM_RIGHT_MESH	Arm Right
COSMETICS.TYPE.ARM_LEFT_MESH	Arm Left
COSMETICS.TYPE.LEG_RIGHT_MESH	Leg Right
COSMETICS.TYPE.LEG_LEFT_MESH	Leg Left
COSMETICS.TYPE.GRABBER_MESH	Grabber
COSMETICS.TYPE.EYE_LID_RIGHT_MESH	Eye Lid Right
COSMETICS.TYPE.EYE_LID_LEFT_MESH	Eye Lid Left
COSMETICS.TYPE.BODY_TOP_OVERLAY	Body Top Overlay
COSMETICS.TYPE.EARS	Ears
COSMETICS.TYPE.EYEWEAR	Eyewear
COSMETICS.TYPE.BODY_TOP	Bodywear Top
COSMETICS.TYPE.BODY_BOTTOM	Bodywear Bottom
COSMETICS.TYPE.BODY_BOTTOM_OVERLAY	Body Bottom Overlay
COSMETICS.TYPE.HEAD_TOP_OVERLAY	Head Top Overlay
COSMETICS.TYPE.HEAD_BOTTOM_OVERLAY	Head Bottom Overlay
POPUP.DELETE_PRESET.HEADER	Delete Preset
POPUP.DELETE_PRESET.BODY	Are you REALLY SURE you want to delete this preset FOREVER?
POPUP.DELETE_PRESET.OPT1	Yes! :')
POPUP.DELETE_PRESET.OPT2	No...
SETTINGS.CONTROLS.ANGRY	Angry
SETTINGS.CONTROLS.SAD	Sad
SETTINGS.CONTROLS.SUSPICIOUS	Suspicious
SETTINGS.CONTROLS.EYES_CLOSED	Eyes Closed
SETTINGS.CONTROLS.SCARED	Scared
SETTINGS.CONTROLS.HAPPY	Happy
POPUP.COSMETICS_COLOR_ALL.HEADER	Change Color
POPUP.COSMETICS_COLOR_ALL.BODY	This will replace the colors on all body parts and cosmetics.\n\nThis is irreversible!
POPUP.COSMETICS_COLOR_ALL.OPT1	Yes! :')
POPUP.COSMETICS_COLOR_ALL.OPT2	No...
SETTINGS.AUDIO.SFX_VOLUME	SFX Volume
SETTINGS.AUDIO.TEXT_TO_SPEECH_VOLUME	Text to Speech Volume
SETTINGS.CAMERA_ANIMATION.OFF	Off
SETTINGS.CAMERA_ANIMATION.VERY_LOW	Very Low
SETTINGS.CAMERA_ANIMATION.LOW	Low
SETTINGS.CAMERA_ANIMATION.MEDIUM	Medium
SETTINGS.CAMERA_ANIMATION.DEFAULT	Default
SETTINGS.RICH_PRESENCE.OFF	Off
SETTINGS.RICH_PRESENCE.MINIMAL	Minimal
SETTINGS.RICH_PRESENCE.FULL	Full
SETTINGS.WINDOW_MODE.WINDOWED	Windowed
SETTINGS.WINDOW_MODE.FULLSCREEN	Fullscreen
SETTINGS.MAX_FPS.UNLIMITED	Unlimited
SETTINGS.LIGHT_DISTANCE.VERY_LOW	Very Low
SETTINGS.LIGHT_DISTANCE.LOW	Low
SETTINGS.LIGHT_DISTANCE.MEDIUM	Medium
SETTINGS.LIGHT_DISTANCE.HIGH	High
SETTINGS.LIGHT_DISTANCE.VERY_HIGH	Very High
SETTINGS.SHADOW_QUALITY.VERY_LOW	Very Low
SETTINGS.SHADOW_QUALITY.LOW	Low
SETTINGS.SHADOW_QUALITY.MEDIUM	Medium
SETTINGS.SHADOW_QUALITY.HIGH	High
SETTINGS.SHADOW_QUALITY.VERY_HIGH	Very High
SETTINGS.SHADOW_DISTANCE.VERY_LOW	Very Low
SETTINGS.SHADOW_DISTANCE.LOW	Low
SETTINGS.SHADOW_DISTANCE.MEDIUM	Medium
SETTINGS.SHADOW_DISTANCE.HIGH	High
SETTINGS.SHADOW_DISTANCE.VERY_HIGH	Very High
SETTINGS.RENDER_SIZE.SMALL	Small
SETTINGS.RENDER_SIZE.MEDIUM	Medium
SETTINGS.RENDER_SIZE.DEFAULT	Default
SETTINGS.MIC_DEVICE.NONE	None
POPUP.RESET_GAMEPLAY_SETTINGS.HEADER	Reset Gameplay Settings
POPUP.RESET_GAMEPLAY_SETTINGS.BODY	Reset gameplay settings to default?
POPUP.RESET_GAMEPLAY_SETTINGS.OPT1	Yes!
POPUP.RESET_GAMEPLAY_SETTINGS.OPT2	No
SETTINGS.GRAPHICS.HEADER	Graphics
POPUP.RESET_GRAPHICS_SETTINGS.HEADER	Reset Graphics Settings
POPUP.RESET_GRAPHICS_SETTINGS.BODY	Reset graphics settings to default?
POPUP.RESET_GRAPHICS_SETTINGS.OPT1	Yes!
POPUP.RESET_GRAPHICS_SETTINGS.OPT2	No
POPUP.RESET_AUDIO_SETTINGS.HEADER	Reset Audio Settings
POPUP.RESET_AUDIO_SETTINGS.BODY	Reset audio settings to default?
POPUP.RESET_AUDIO_SETTINGS.OPT1	Yes!
POPUP.RESET_AUDIO_SETTINGS.OPT2	No
POPUP.RESET_CONTROLS_SETTINGS.HEADER	Reset Controls Settings
POPUP.RESET_CONTROLS_SETTINGS.BODY	Reset controls settings to default?
POPUP.RESET_CONTROLS_SETTINGS.OPT1	Yes!
POPUP.RESET_CONTROLS_SETTINGS.OPT2	No
COSMETICS.TYPE.FOOT_RIGHT	Footwear Right
COSMETICS.TYPE.FOOT_LEFT	Footwear Left
COSMETICS.TYPE.ARM_RIGHT_OVERLAY	Arm Right Overlay
COSMETICS.TYPE.ARM_LEFT_OVERLAY	Arm Left Overlay
COSMETICS.TYPE.LEG_RIGHT_OVERLAY	Leg Right Overlay
COSMETICS.TYPE.LEG_LEFT_OVERLAY	Leg Left Overlay
PASSWORD.HEADER	Password
PASSWORD.SKIP	Skip
LOADING.LOADING	Loading
LOADING.STUCK_PROMPT_TOP_TEXT	Stuck in loading?
LOADING.STUCK_PROMPT_BOTTOM_TEXT	Press [menu] to exit to main menu
LOBBY.HEADER	Lobby
LOBBY.CHAT_PROMPT	Press [chat] to chat
LOBBY.START_GAME	Start Game
LOBBY.INVITE	Invite
LOBBY.SETTINGS	Settings
LOBBY.CUSTOMIZE	Customize
LOBBY.LEAVE	Leave
POPUP.START_GAME.HEADER	Start Game
POPUP.START_GAME.BODY	Everyone ready?\n\nOnce the game is started\nnew players cannot join.
POPUP.START_GAME.OPT1	Yes!
POPUP.START_GAME.OPT2	No wait!
POPUP.LEAVE_LOBBY.HEADER	Leave Lobby
POPUP.LEAVE_LOBBY.BODY	Are you sure?
POPUP.LEAVE_LOBBY.OPT1	Yes
POPUP.LEAVE_LOBBY.OPT2	No
POPUP.NEW_GAME.HEADER	New Game
POPUP.NEW_GAME.BODY	Do you want to start a game?
POPUP.NEW_GAME.OPT1	Yes!
POPUP.NEW_GAME.OPT2	No
PASSWORD.CONFIRM	Confirm
LOBBY.PLAYER_JOINING	Player Joining...
COSMETICS.TYPE.HEAD_BOTTOM	Face Lower
POPUP.COSMETICS_RESET_ALL.HEADER	Clear
POPUP.COSMETICS_RESET_ALL.BODY	Are you sure you want to unequip all body parts and cosmetics?\n\nThis is irreversible!
POPUP.COSMETICS_RESET_ALL.OPT1	Yes! :')
POPUP.COSMETICS_RESET_ALL.OPT2	No...
POPUP.COSMETICS_RESET_BODY.HEADER	Clear
POPUP.COSMETICS_RESET_BODY.BODY	Are you sure you want to unequip all body parts?\n\nThis is irreversible!
POPUP.COSMETICS_RESET_BODY.OPT1	Yes! :')
POPUP.COSMETICS_RESET_BODY.OPT2	No...
POPUP.COSMETICS_RESET_COSMETICS.HEADER	Clear
POPUP.COSMETICS_RESET_COSMETICS.BODY	Are you sure you want to unequip all cosmetics?\n\nThis is irreversible!
POPUP.COSMETICS_RESET_COSMETICS.OPT1	Yes! :')
POPUP.COSMETICS_RESET_COSMETICS.OPT2	No...
POPUP.COSMETICS_RANDOMIZE_ALL.HEADER	Randomize
POPUP.COSMETICS_RANDOMIZE_ALL.BODY	Are you sure you want to randomize all body parts and cosmetics?\n\nThis is irreversible!
POPUP.COSMETICS_RANDOMIZE_ALL.OPT1	Yes! :')
POPUP.COSMETICS_RANDOMIZE_ALL.OPT2	No...
POPUP.COSMETICS_RANDOMIZE_BODY.HEADER	Randomize
POPUP.COSMETICS_RANDOMIZE_BODY.BODY	Are you sure you want to randomize all body parts?\n\nThis is irreversible!
POPUP.COSMETICS_RANDOMIZE_BODY.OPT1	Yes! :')
POPUP.COSMETICS_RANDOMIZE_BODY.OPT2	No...
POPUP.COSMETICS_RANDOMIZE_COSMETICS.HEADER	Randomize
POPUP.COSMETICS_RANDOMIZE_COSMETICS.BODY	Are you sure you want to randomize all cosmetics?\n\nThis is irreversible!
POPUP.COSMETICS_RANDOMIZE_COSMETICS.OPT1	Yes! :')
POPUP.COSMETICS_RANDOMIZE_COSMETICS.OPT2	No...
POPUP.COSMETICS_COLOR_BODY.HEADER	Change Color
POPUP.COSMETICS_COLOR_BODY.BODY	This will replace the colors on all body parts.\n\nThis is irreversible!
POPUP.COSMETICS_COLOR_BODY.OPT1	Yes! :')
POPUP.COSMETICS_COLOR_BODY.OPT2	No...
POPUP.COSMETICS_COLOR_COSMETICS.HEADER	Change Color
POPUP.COSMETICS_COLOR_COSMETICS.BODY	This will replace the colors on all cosmetics.\n\nThis is irreversible!
POPUP.COSMETICS_COLOR_COSMETICS.OPT1	Yes! :')
POPUP.COSMETICS_COLOR_COSMETICS.OPT2	No...
COSMETICS.TYPE.FACE_TOP	Face Upper
COSMETICS.TYPE.FACE_BOTTOM	Face Middle
MAIN.CUSTOMIZE	Customize
ESC.HEADER	Menu
ESC.CONTINUE	Continue
ESC.CUSTOMIZE	Customize
ESC.SETTINGS	Settings
ESC.SELF_DESTRUCT	Self Destruct
ESC.ACTIVE_MOONS	Active Moons
ESC.MAIN_MENU	Main Menu
ESC.QUIT_GAME	Quit Game
POPUP.MAIN_MENU.OPT2	No
MOONS.HEADER	Active Moons
MOONS.BACK	Back
MOONS.MOON_1.NAME	Crescent Moon
MOONS.MOON_1.ATTRIBUTE_1	The truck healer now restores 35 health.
MOONS.MOON_1.ATTRIBUTE_2	Monsters are now harder to knock down with valuables.
MOONS.MOON_2.NAME	Half Moon
MOONS.MOON_2.ATTRIBUTE_1	Monsters now overcharge your grabber.
MOONS.MOON_2.ATTRIBUTE_2	Monsters take heavy damage from pits, but can survive.
MOONS.MOON_2.ATTRIBUTE_3	The truck healer now restores 25 health.
MOONS.MOON_3.NAME	Full Moon
MOONS.MOON_3.ATTRIBUTE_1	Monsters now overcharge your grabber by a total increase of 25%
MOONS.MOON_3.ATTRIBUTE_2	Monsters now take less damage from pits.
MOONS.MOON_4.NAME	Super Moon
MOONS.MOON_4.ATTRIBUTE_1	Enemy Orbs now explode when destroyed.
MOONS.MOON_4.ATTRIBUTE_2	Monsters now overcharge your grabber by a total increase of 50%
MOONS.MOON_4.ATTRIBUTE_3	Monsters now take even less damage from pits.
LOBBY.PING	{ping} ms
REGIONS.PING	{ping} ms
SPLASH.PHOTOSENSITIVITY_WARNING.HEADER	Photosensivity Warning
SPLASH.PHOTOSENSITIVITY_WARNING.SUBHEADER	This game contains flashing lights.
SPLASH.PHOTOSENSITIVITY_WARNING.TEXT	Some individuals may experience epileptic seizures when exposed to light patterns and flashing lights. If you feel any discomfort when playing, immediately stop playing and consult a doctor.
LEVEL.NAME.SHOP	Service Station
LEVEL.NAME.ARENA	Disposal Arena
LEVEL.NAME.ARCTIC	McJannek Station
LEVEL.NAME.MANOR	Headman Manor
LEVEL.NAME.MUSEUM	Museum of Human Art
LEVEL.NAME.WIZARD	Swiftbroom Academy
LOADING.LEVEL.SHOP	Shop
LOADING.LEVEL.LEVEL_NUMBER	Level {number}
LOADING.LEVEL.GAME_OVER	Game Over
SAVES.SAVE_INFO.PLAYER_SOLO	You did it all alone!
POPUP.SAVE_LIMIT.HEADER	Save File Limit Reached
POPUP.SAVE_LIMIT.BODY	You can only have {limit} save files at a time. Please delete some save files to make room for new ones.
POPUP.SAVE_LIMIT.BUTTON	OK
POPUP.KICKED.HEADER	Kicked
POPUP.KICKED.BODY	You were kicked by the host.
POPUP.KICKED.BUTTON	Ok Dang
POPUP.DISCONNECTED.HEADER	Disconnected
POPUP.DISCONNECTED.STUCK_LOADING	Stuck in loading
POPUP.DISCONNECTED.HOST_DISCONNECTED	Host disconnected
POPUP.DISCONNECTED.BUTTON	Ok Dang
POPUP.VERSION_MISMATCH.HEADER	Wrong Game Version
POPUP.VERSION_MISMATCH.BODY	Game lobby is using version:\n{version}
POPUP.VERSION_MISMATCH.BUTTON	Ok Dang
POPUP.LOBBY_CLOSED.HEADER	Lobby Closed
POPUP.LOBBY_CLOSED.BODY	The lobby has closed.
POPUP.LOBBY_CLOSED.BUTTON	Ok Dang
POPUP.DISCONNECTED.CAUSE_PREFIX	Cause:
POPUP.DISCONNECTED.BANNED_LOBBY	You are banned from this lobby.
PUBLIC_GAME_CHOICE.HEADER	Public Game
PUBLIC_GAME_CHOICE.RANDOM_MATCHMAKING	Random Matchmaking
PUBLIC_GAME_CHOICE.SERVER_LIST	Server List
PUBLIC_GAME_CHOICE.BACK	Back
SERVER_LIST.HEADER	Server List
SERVER_LIST.SEARCH	Search
SERVER_LIST.CREATE_NEW	Create New
SERVER_LIST.BACK	Back
SERVER_LIST_SEARCH.HEADER	Search
SERVER_LIST_SEARCH.CONFIRM	Confirm
SERVER_LIST_SEARCH.BACK	Back
SERVER_LIST_CREATE_NEW.HEADER	Create New Server
SERVER_LIST_CREATE_NEW.CONFIRM	Confirm
SERVER_LIST_CREATE_NEW.BACK	Back
SETTINGS.GAMEPLAY.INVERT_VERTICAL_AIM	Invert Vertical Aim
