MAIN.PRIVATE_GAME	Закрытая игра
REGIONS.REGION.AU	Австралия
REGIONS.REGION.CAE	Канада (Восток)
REGIONS.REGION.CN	Китай
REGIONS.REGION.EU	Европа
REGIONS.REGION.HK	Гонконг
REGIONS.REGION.IN	Индия
REGIONS.REGION.JP	Япония
REGIONS.REGION.ZA	Южная Африка
REGIONS.REGION.SA	Южная Америка
REGIONS.REGION.KR	Южная Корея
REGIONS.REGION.TR	Турция
REGIONS.REGION.UAE	ОАЭ
REGIONS.REGION.US	США (Восток)
REGIONS.REGION.USW	США (Запад)
REGIONS.REGION.USSC	США (Юг-Центр)
SAVES.SAVE_INFO.SORRY	Упс, простите!
SAVES.SAVE_INFO.PRESS_DELETE	Нажмите 'Удалить', чтобы стереть 
всю папку сохранений.
SAVES.SAVE_INFO.PLAYER_LIST	{players:list:{}|,   |   and   }
SAVES.SAVE_INFO.CORRUPTED_SAVE_FILE	Файл поврежден
SAVES.SAVE_FILE.UH_OH	Ой-ой!
SAVES.SAVE_FILE.CORRUPTED_SAVE_FILE	Файл сохранения поврежден
SAVES_RENAME.RENAME_SAVE	Переименовать
SAVES_RENAME.BACK	Назад
SAVES_RENAME.CONFIRM	Ок
SAVES.SAVE_INFO.CLICK_TO_RENAME	(Нажмите для переименования)
SETTINGS.HEADER	Настройки
SETTINGS.GAMEPLAY	Геймплей
SETTINGS.GRAPHICS	Графика
SETTINGS.AUDIO	Звук
SETTINGS.CONTROLS	Управление
SETTINGS.LANGUAGE	Язык
SETTINGS.BACK	Назад
SETTINGS.BOOL.ON	Вкл
SETTINGS.BOOL.OFF	Выкл
SETTINGS.BOOL.TOGGLE	Переключить
SETTINGS.BOOL.HOLD	Удерживать
SETTINGS.GAMEPLAY.HEADER	Геймплей
SETTINGS.GAMEPLAY.RESET_TO_DEFAULT_SETTINGS	Сбросить настройки геймплея
SETTINGS.GAMEPLAY.TIPS	Подсказки
SETTINGS.GAMEPLAY.PLAYER_NAMES	Имена игроков
SETTINGS.GAMEPLAY.PHOTOSENSITIVITY	Светочувствительность
SETTINGS.GAMEPLAY.ARACHNOPHOBIA	Арахнофобия
SETTINGS.GAMEPLAY.AIM_SENSITIVITY	Чувствительность прицела
SETTINGS.GAMEPLAY.CAMERA_SMOOTHING	Сглаживание камеры
SETTINGS.GAMEPLAY.CAMERA_SHAKE	Тряска камеры
SETTINGS.GAMEPLAY.CAMERA_NOISE	Шум камеры
SETTINGS.GAMEPLAY.CAMERA_ANIMATION	Анимация камеры
SETTINGS.GAMEPLAY.INVERT_VERICAL_AIM	Инверсия по вертикали
SETTINGS.GAMEPLAY.ITEM_UNEQUIP_AUTO_HOLD	Автоудержание при снятии
SETTINGS.GAMEPLAY.RICH_PRESENCE	Статус в Discord
SETTINGS.GAMEPLAY.COSMETICS	Косметика
SETTINGS.GRAPHICS.RESET_TO_DEFAULT_SETTINGS	Сбросить настройки графики
SETTINGS.GRAPHICS.WINDOW_MODE	Оконный режим
SETTINGS.GRAPHICS.VSYNC	Вертикальная синхронизация
SETTINGS.GRAPHICS.GAMMA	Гамма
SETTINGS.GRAPHICS.MAX_FPS	Макс. FPS
SETTINGS.GRAPHICS.LIGHT_DISTANCE	Дальность освещения
SETTINGS.GRAPHICS.SHADOW_QUALITY	Качество теней
SETTINGS.GRAPHICS.SHADOW_DISTANCE	Дальность теней
SETTINGS.GRAPHICS.MOTION_BLUR	Размытие в движении
SETTINGS.GRAPHICS.LENS_DISTORTION	Дисторсия линзы
SETTINGS.GRAPHICS.BLOOM	Свечение (Bloom)
SETTINGS.GRAPHICS.CHROMATIC_ABERRATION	Хроматическая аберрация
SETTINGS.GRAPHICS.GRAIN	Зернистость
SETTINGS.GRAPHICS.GLITCH_LOOP	Цикл помех
SETTINGS.GRAPHICS.PIXELATION	Пикселизация
SETTINGS.AUDIO.HEADER	Аудио
SETTINGS.AUDIO.RESET_TO_DEFAULT_SETTINGS	Сбросить настройки аудио
SETTINGS.AUDIO.MASTER_VOLUME	Мастер-громкость
SETTINGS.AUDIO.MUSIC_VOLUME	Громкость музыки
SETTINGS.AUDIO.PROXIMITY_VOICE_VOLUME	Громкость голосового чата
SETTINGS.AUDIO.MICROPHONE	Микрофон
SETTINGS.AUDIO.MICROPHONE_VOLUME	Громкость микрофона
SETTINGS.AUDIO.PUSH_TO_TALK	Рация (Push to Talk)
SETTINGS.CONTROLS.HEADER	Управление
SETTINGS.CONTROLS.RESET_TO_DEFAULT_SETTINGS	Сбросить настройки управления
SETTINGS.CONTROLS.MOVEMENT	Движение
SETTINGS.CONTROLS.MOVE_FORWARD	Вперед
SETTINGS.CONTROLS.MOVE_LEFT	Влево
SETTINGS.CONTROLS.MOVE_BACK	Назад
SETTINGS.CONTROLS.MOVE_RIGHT	Вправо
SETTINGS.CONTROLS.JUMP	Прыжок
SETTINGS.CONTROLS.CROUCH	Присесть
SETTINGS.CONTROLS.SPRINT	Бег
SETTINGS.CONTROLS.TUMBLE	Кувырок
SETTINGS.CONTROLS.GRABBING	Захват
SETTINGS.CONTROLS.GRAB	Захват
SETTINGS.CONTROLS.ROTATE	Вращение
SETTINGS.CONTROLS.PUSH	Толкать
SETTINGS.CONTROLS.PULL	Тянуть
SETTINGS.CONTROLS.OTHER	Другое
SETTINGS.CONTROLS.MAP	Карта
SETTINGS.CONTROLS.INTERACT	Взаимодействие
SETTINGS.CONTROLS.INVENTORY_1	Слот 1
SETTINGS.CONTROLS.INVENTORY_2	Слот 2
SETTINGS.CONTROLS.INVENTORY_3	Слот 3
SETTINGS.CONTROLS.CHAT	Чат
SETTINGS.CONTROLS.CONFIRM	Подтвердить
SETTINGS.CONTROLS.BACK	Назад
SETTINGS.CONTROLS.MENU	Меню
SETTINGS.CONTROLS.SPECTATE_NEXT	След. игрок
SETTINGS.CONTROLS.SPECTATE_PREVIOUS	Пред. игрок
SETTINGS.CONTROLS.PUSH_TO_TALK	Рация
SETTINGS.CONTROLS.TOGGLE_MUTE	Выкл. звук
SETTINGS.CONTROLS.PLAYER_EXPRESSIONS	Эмоции
SETTINGS.LANGUAGE.HEADER	Язык
COSMETICS.CATEGORY.PRESETS	Пресеты
COSMETICS.CATEGORY.HEAD	Голова
COSMETICS.CATEGORY.ARMS	Руки
COSMETICS.CATEGORY.BODY	Тело
COSMETICS.CATEGORY.LEGS	Ноги
COSMETICS.CONFIRM	Подтвердить
COSMETICS.COLOR.HEADER	Выбор цвета
COSMETICS.COLOR.CONFIRM	Применить
COSMETICS.PRESET.DELETE	Удалить
COSMETICS.TYPE.HAT	Головной убор
COSMETICS.TYPE.ARM_RIGHT	Правая рука
COSMETICS.TYPE.ARM_LEFT	Левая рука
COSMETICS.TYPE.LEG_RIGHT	Правая нога
COSMETICS.TYPE.LEG_LEFT	Левая нога
COSMETICS.TYPE.HEAD_TOP_MESH	Верх головы
COSMETICS.TYPE.HEAD_BOTTOM_MESH	Низ головы
COSMETICS.TYPE.BODY_TOP_MESH	Верх туловища
COSMETICS.TYPE.BODY_BOTTOM_MESH	Низ туловища
COSMETICS.TYPE.ARM_RIGHT_MESH	Правое плечо
COSMETICS.TYPE.ARM_LEFT_MESH	Левое плечо
COSMETICS.TYPE.LEG_RIGHT_MESH	Правое бедро
COSMETICS.TYPE.LEG_LEFT_MESH	Левое бедро
COSMETICS.TYPE.GRABBER_MESH	Захват
COSMETICS.TYPE.EYE_LID_RIGHT_MESH	Правое веко
COSMETICS.TYPE.EYE_LID_LEFT_MESH	Левое веко
COSMETICS.TYPE.BODY_TOP_OVERLAY	Нашивка (верх)
COSMETICS.TYPE.EARS	Уши
COSMETICS.TYPE.EYEWEAR	Очки
COSMETICS.TYPE.BODY_TOP	Одежда (верх)
COSMETICS.TYPE.BODY_BOTTOM	Одежда (низ)
COSMETICS.TYPE.BODY_BOTTOM_OVERLAY	Нашивка (низ)
COSMETICS.TYPE.HEAD_TOP_OVERLAY	Покрытие (верх головы)
COSMETICS.TYPE.HEAD_BOTTOM_OVERLAY	Покрытие (низ головы)
POPUP.DELETE_PRESET.HEADER	Удалить пресет
POPUP.DELETE_PRESET.BODY	Вы ДЕЙСТВИТЕЛЬНО УВЕРЕНЫ, что хотите удалить этот пресет НАВСЕГДА?
POPUP.DELETE_PRESET.OPT1	Да! :')
POPUP.DELETE_PRESET.OPT2	Нет...
SETTINGS.CONTROLS.ANGRY	Злость
SETTINGS.CONTROLS.SAD	Грусть
SETTINGS.CONTROLS.SUSPICIOUS	Подозрение
SETTINGS.CONTROLS.EYES_CLOSED	Закрыть глаза
SETTINGS.CONTROLS.SCARED	Испуг
SETTINGS.CONTROLS.HAPPY	Радость
POPUP.COSMETICS_COLOR_ALL.HEADER	Смена цвета
POPUP.COSMETICS_COLOR_ALL.BODY	Это изменит цвета всех частей тела и косметики. Действие необратимо!
POPUP.COSMETICS_COLOR_ALL.OPT1	Да! :')
POPUP.COSMETICS_COLOR_ALL.OPT2	Нет...
SETTINGS.AUDIO.SFX_VOLUME	Громкость эффектов
SETTINGS.AUDIO.TEXT_TO_SPEECH_VOLUME	Громкость синтеза речи (TTS)
SETTINGS.CAMERA_ANIMATION.OFF	Выкл
SETTINGS.CAMERA_ANIMATION.VERY_LOW	Оч. низкая
SETTINGS.CAMERA_ANIMATION.LOW	Низкая
SETTINGS.CAMERA_ANIMATION.MEDIUM	Средняя
SETTINGS.CAMERA_ANIMATION.DEFAULT	Стандарт
SETTINGS.RICH_PRESENCE.OFF	Выкл
SETTINGS.RICH_PRESENCE.MINIMAL	Минимум
SETTINGS.RICH_PRESENCE.FULL	Полный
SETTINGS.WINDOW_MODE.WINDOWED	В окне
SETTINGS.WINDOW_MODE.FULLSCREEN	Полный экран
SETTINGS.MAX_FPS.UNLIMITED	Без лимита
SETTINGS.LIGHT_DISTANCE.VERY_LOW	Оч. низкая
SETTINGS.LIGHT_DISTANCE.LOW	Низкая
SETTINGS.LIGHT_DISTANCE.MEDIUM	Средняя
SETTINGS.LIGHT_DISTANCE.HIGH	Высокая
SETTINGS.LIGHT_DISTANCE.VERY_HIGH	Ультра
SETTINGS.SHADOW_QUALITY.VERY_LOW	Оч. низкое
SETTINGS.SHADOW_QUALITY.LOW	Низкое
SETTINGS.SHADOW_QUALITY.MEDIUM	Среднее
SETTINGS.SHADOW_QUALITY.HIGH	Высокое
SETTINGS.SHADOW_QUALITY.VERY_HIGH	Ультра
SETTINGS.SHADOW_DISTANCE.VERY_LOW	Оч. низкая
SETTINGS.SHADOW_DISTANCE.LOW	Низкая
SETTINGS.SHADOW_DISTANCE.MEDIUM	Средняя
SETTINGS.SHADOW_DISTANCE.HIGH	Высокая
SETTINGS.SHADOW_DISTANCE.VERY_HIGH	Ультра
SETTINGS.RENDER_SIZE.SMALL	Маленький
SETTINGS.RENDER_SIZE.MEDIUM	Средний
SETTINGS.RENDER_SIZE.DEFAULT	Стандарт
SETTINGS.MIC_DEVICE.NONE	Нет
POPUP.RESET_GAMEPLAY_SETTINGS.HEADER	Сброс настроек
POPUP.RESET_GAMEPLAY_SETTINGS.BODY	Сбросить настройки геймплея?
POPUP.RESET_GAMEPLAY_SETTINGS.OPT1	Да!
POPUP.RESET_GAMEPLAY_SETTINGS.OPT2	Нет
SETTINGS.GRAPHICS.HEADER	Графика
POPUP.RESET_GRAPHICS_SETTINGS.HEADER	Сброс графики
POPUP.RESET_GRAPHICS_SETTINGS.BODY	Сбросить настройки графики?
POPUP.RESET_GRAPHICS_SETTINGS.OPT1	Да!
POPUP.RESET_GRAPHICS_SETTINGS.OPT2	Нет
POPUP.RESET_AUDIO_SETTINGS.HEADER	Сброс аудио
POPUP.RESET_AUDIO_SETTINGS.BODY	Сбросить настройки аудио?
POPUP.RESET_AUDIO_SETTINGS.OPT1	Да!
POPUP.RESET_AUDIO_SETTINGS.OPT2	Нет
POPUP.RESET_CONTROLS_SETTINGS.HEADER	Сброс управления
POPUP.RESET_CONTROLS_SETTINGS.BODY	Сбросить настройки управления?
POPUP.RESET_CONTROLS_SETTINGS.OPT1	Да!
POPUP.RESET_CONTROLS_SETTINGS.OPT2	Нет
COSMETICS.TYPE.FOOT_RIGHT	Правая обувь
COSMETICS.TYPE.FOOT_LEFT	Левая обувь
COSMETICS.TYPE.ARM_RIGHT_OVERLAY	Наруч (правый)
COSMETICS.TYPE.ARM_LEFT_OVERLAY	Наруч (левый)
COSMETICS.TYPE.LEG_RIGHT_OVERLAY	Понож (правый)
COSMETICS.TYPE.LEG_LEFT_OVERLAY	Понож (левый)
PASSWORD.HEADER	Пароль
PASSWORD.SKIP	Пропустить
LOADING.LOADING	Загрузка...
LOADING.STUCK_PROMPT_TOP_TEXT	Зависла загрузка?
LOADING.STUCK_PROMPT_BOTTOM_TEXT	Нажмите [menu], чтобы выйти в меню
LOBBY.HEADER	Лобби
LOBBY.CHAT_PROMPT	Нажмите [chat], чтобы написать
LOBBY.START_GAME	Начать игру
LOBBY.INVITE	Пригласить
LOBBY.SETTINGS	Настройки
LOBBY.CUSTOMIZE	Персонаж
LOBBY.LEAVE	Покинуть
POPUP.START_GAME.HEADER	Начать игру
POPUP.START_GAME.BODY	Все готовы?

После старта новые игроки
не смогут присоединиться.
POPUP.START_GAME.OPT1	Да!
POPUP.START_GAME.OPT2	Подождите!
POPUP.LEAVE_LOBBY.HEADER	Покинуть лобби
POPUP.LEAVE_LOBBY.BODY	Вы уверены?
POPUP.LEAVE_LOBBY.OPT1	Да
POPUP.LEAVE_LOBBY.OPT2	Нет
POPUP.NEW_GAME.HEADER	Новая игра
POPUP.NEW_GAME.BODY	Начать новую игру?
POPUP.NEW_GAME.OPT1	Да!
POPUP.NEW_GAME.OPT2	Нет
PASSWORD.CONFIRM	Ок
LOBBY.PLAYER_JOINING	Игрок подключается...
COSMETICS.TYPE.HEAD_BOTTOM	Лицо (низ)
POPUP.COSMETICS_RESET_ALL.HEADER	Очистить всё
POPUP.COSMETICS_RESET_ALL.BODY	Снять всю косметику и части тела?
POPUP.COSMETICS_RESET_ALL.OPT1	Да! :')
POPUP.COSMETICS_RESET_ALL.OPT2	Нет...
POPUP.COSMETICS_RESET_BODY.HEADER	Очистить тело
POPUP.COSMETICS_RESET_BODY.BODY	Снять все части тела?
POPUP.COSMETICS_RESET_BODY.OPT1	Да! :')
POPUP.COSMETICS_RESET_BODY.OPT2	Нет...
POPUP.COSMETICS_RESET_COSMETICS.HEADER	Очистить
POPUP.COSMETICS_RESET_COSMETICS.BODY	Снять все косметические предметы?
POPUP.COSMETICS_RESET_COSMETICS.OPT1	Да! :')
POPUP.COSMETICS_RESET_COSMETICS.OPT2	Нет...
POPUP.COSMETICS_RANDOMIZE_ALL.HEADER	Рандом
POPUP.COSMETICS_RANDOMIZE_ALL.BODY	Случайно выбрать все части тела и косметику?
POPUP.COSMETICS_RANDOMIZE_ALL.OPT1	Да! :')
POPUP.COSMETICS_RANDOMIZE_ALL.OPT2	Нет...
POPUP.COSMETICS_RANDOMIZE_BODY.HEADER	Рандом тела
POPUP.COSMETICS_RANDOMIZE_BODY.BODY	Случайно выбрать части тела?
POPUP.COSMETICS_RANDOMIZE_BODY.OPT1	Да! :')
POPUP.COSMETICS_RANDOMIZE_BODY.OPT2	Нет...
POPUP.COSMETICS_RANDOMIZE_COSMETICS.HEADER	Рандом одежды
POPUP.COSMETICS_RANDOMIZE_COSMETICS.BODY	Случайно выбрать одежду?
POPUP.COSMETICS_RANDOMIZE_COSMETICS.OPT1	Да! :')
POPUP.COSMETICS_RANDOMIZE_COSMETICS.OPT2	Нет...
POPUP.COSMETICS_COLOR_BODY.HEADER	Цвет тела
POPUP.COSMETICS_COLOR_BODY.BODY	Изменить цвет всех частей тела?
POPUP.COSMETICS_COLOR_BODY.OPT1	Да! :')
POPUP.COSMETICS_COLOR_BODY.OPT2	Нет...
POPUP.COSMETICS_COLOR_COSMETICS.HEADER	Цвет одежды
POPUP.COSMETICS_COLOR_COSMETICS.BODY	Изменить цвет всей одежды?
POPUP.COSMETICS_COLOR_COSMETICS.OPT1	Да! :')
POPUP.COSMETICS_COLOR_COSMETICS.OPT2	Нет...
COSMETICS.TYPE.FACE_TOP	Верх лица
COSMETICS.TYPE.FACE_BOTTOM	Низ лица
MAIN.CUSTOMIZE	Кастомизация
ESC.HEADER	Меню
ESC.CONTINUE	Продолжить
ESC.CUSTOMIZE	Персонаж
ESC.SETTINGS	Настройки
ESC.SELF_DESTRUCT	Самоуничтожение
ESC.ACTIVE_MOONS	Активные луны
ESC.MAIN_MENU	Главное меню
ESC.QUIT_GAME	Выйти из игры
POPUP.MAIN_MENU.OPT2	Нет
MOONS.HEADER	Активные луны
MOONS.BACK	Назад
MOONS.MOON_1.NAME	Растущая луна
MOONS.MOON_1.ATTRIBUTE_1	Лечилка в грузовике теперь восстанавливает 35 здоровья.
MOONS.MOON_1.ATTRIBUTE_2	Монстров теперь сложнее сбить с ног ценными вещами.
MOONS.MOON_2.NAME	Полумесяц
MOONS.MOON_2.ATTRIBUTE_1	Монстры теперь перегружают ваш захват.
MOONS.MOON_2.ATTRIBUTE_2	Монстры получают тяжелый урон от падения в ямы, но могут выжить.
MOONS.MOON_2.ATTRIBUTE_3	Лечилка в грузовике теперь восстанавливает 25 здоровья.
MOONS.MOON_3.NAME	Полнолуние
MOONS.MOON_3.ATTRIBUTE_1	Монстры перегружают ваш захват на 25% быстрее.
MOONS.MOON_3.ATTRIBUTE_2	Монстры получают меньше урона от падений.
MOONS.MOON_4.NAME	Суперлуние
MOONS.MOON_4.ATTRIBUTE_1	Вражеские сферы теперь взрываются при уничтожении.
MOONS.MOON_4.ATTRIBUTE_2	Монстры перегружают ваш захват на 50% быстрее.
MOONS.MOON_4.ATTRIBUTE_3	Монстры теперь получают еще меньше урона от падений.
LOBBY.PING	{ping} ms
REGIONS.PING	{ping} ms
SPLASH.PHOTOSENSITIVITY_WARNING.HEADER	Предупреждение
SPLASH.PHOTOSENSITIVITY_WARNING.SUBHEADER	В этой игре есть вспышки света.
SPLASH.PHOTOSENSITIVITY_WARNING.TEXT	Некоторые люди могут испытывать эпилептические припадки. Если вы почувствуете дискомфорт, немедленно прекратите игру.
LEVEL.NAME.SHOP	Сервисная станция
LEVEL.NAME.ARENA	Арена утилизации
LEVEL.NAME.ARCTIC	Станция Мак-Джаннек
LEVEL.NAME.MANOR	Поместье старосты
LEVEL.NAME.MUSEUM	Музей человеческого искусства
LEVEL.NAME.WIZARD	Академия Свифтбрум
LOADING.LEVEL.SHOP	Магазин
LOADING.LEVEL.LEVEL_NUMBER	Уровень {number}
LOADING.LEVEL.GAME_OVER	Игра окончена
SAVES.SAVE_INFO.PLAYER_SOLO	Вы справились в одиночку!
POPUP.SAVE_LIMIT.HEADER	Лимит сохранений
POPUP.SAVE_LIMIT.BODY	Вы достигли лимита в {limit} сохранений.
POPUP.SAVE_LIMIT.BUTTON	Понятно
POPUP.KICKED.HEADER	Вы исключены
POPUP.KICKED.BODY	Вас выгнал хост.
POPUP.KICKED.BUTTON	Вот блин
POPUP.DISCONNECTED.HEADER	Соединение разорвано
POPUP.DISCONNECTED.STUCK_LOADING	Зависло при загрузке
POPUP.DISCONNECTED.HOST_DISCONNECTED	Хост разорвал соединение
POPUP.DISCONNECTED.BUTTON	Вот блин
POPUP.VERSION_MISMATCH.HEADER	Разные версии игры
POPUP.VERSION_MISMATCH.BODY	В лобби используется версия:
{version}
POPUP.VERSION_MISMATCH.BUTTON	Ясно
POPUP.LOBBY_CLOSED.HEADER	Лобби закрыто
POPUP.LOBBY_CLOSED.BODY	Лобби было закрыто.
POPUP.LOBBY_CLOSED.BUTTON	Понятно
POPUP.DISCONNECTED.CAUSE_PREFIX	Причина:
POPUP.DISCONNECTED.BANNED_LOBBY	Вы забанены в этом лобби.
PUBLIC_GAME_CHOICE.HEADER	Открытая игра
PUBLIC_GAME_CHOICE.RANDOM_MATCHMAKING	Случайный подбор
PUBLIC_GAME_CHOICE.SERVER_LIST	Список серверов
PUBLIC_GAME_CHOICE.BACK	Назад
SERVER_LIST.HEADER	Список серверов
SERVER_LIST.SEARCH	Поиск
SERVER_LIST.CREATE_NEW	Создать
SERVER_LIST.BACK	Назад
SERVER_LIST_SEARCH.HEADER	Поиск
SERVER_LIST_SEARCH.CONFIRM	Найти
SERVER_LIST_SEARCH.BACK	Назад
SERVER_LIST_CREATE_NEW.HEADER	Новый сервер
SERVER_LIST_CREATE_NEW.CONFIRM	Создать
SERVER_LIST_CREATE_NEW.BACK	Назад
SETTINGS.GAMEPLAY.INVERT_VERTICAL_AIM	Инверсия по вертикали
