BIG_MESSAGE.EXTRACTION.ACTIVATED	Точка эвакуации активирована
ITEM.UPGRADE_DEATH_HEAD_BATTERY	Улучшение: Заряд мертвой головы
ITEM.UPGRADE_MAP_PLAYER_COUNT	Улучшение: Игроки на карте
ITEM.UPGRADE_PLAYER_CROUCH_REST	Улучшение: Отдых сидя
ITEM.UPGRADE_PLAYER_ENERGY	Улучшение: Выносливость
ITEM.UPGRADE_PLAYER_EXTRA_JUMP	Улучшение: Доп. прыжок
ITEM.UPGRADE_PLAYER_GRAB_RANGE	Улучшение: Дальность захвата
ITEM.UPGRADE_PLAYER_GRAB_STRENGTH	Улучшение: Сила захвата
ITEM.UPGRADE_PLAYER_HEALTH	Улучшение: Здоровье
ITEM.UPGRADE_PLAYER_SPRINT_SPEED	Улучшение: Скорость бега
ITEM.UPGRADE_PLAYER_TUMBLE_CLIMB	Улучшение: Подъем из кувырка
ITEM.UPGRADE_PLAYER_TUMBLE_LAUNCH	Улучшение: Рывок в кувырке
ITEM.UPGRADE_PLAYER_TUMBLE_WINGS	Улучшение: Крылья кувырка
ITEM.VALUABLE_TRACKER	Детектор ценностей
ITEM.VEHICLE_SEMISCOOTER	Грузовоз
ITEM.VEHICLE_SEMISCOOTER_SMALL	Разведчик
ITEM.WALKIE_TALKIE	Рация Semibot
ITEM.WALKIE_TALKIE_BOX	Ящик с рациями
STATS.UPGRADES.HEADER	Улучшения
LEVEL.HEADER	Уровень
STATS.UPGRADE.CROUCH_REST	Отдых сидя
STATS.UPGRADE.DEATH_HEAD_BATTERY	Заряд головы
STATS.UPGRADE.EXTRA_JUMP	Доп. прыжок
STATS.UPGRADE.HEALTH	Здоровье
STATS.UPGRADE.LAUNCH	Рывок
STATS.UPGRADE.MAP_PLAYER_COUNT	Игроки на карте
STATS.UPGRADE.RANGE	Дальность захвата
STATS.UPGRADE.SPEED	Скорость бега
STATS.UPGRADE.STAMINA	Выносливость
STATS.UPGRADE.STRENGTH	Сила захвата
STATS.UPGRADE.TUMBLE_CLIMB	Подъем
STATS.UPGRADE.TUMBLE_WINGS	Крылья
ENEMY.ANIMAL	Зверь
ENEMY.BANG	Громила
ENEMY.BEAMER	Клоун
ENEMY.BIRTHDAY_BOY	Именинник
ENEMY.BOMB_THROWER	Ликвидатор
ENEMY.BOWTIE	Бабочка
ENEMY.CEILING_EYE	Наблюдатель
ENEMY.DUCK	Высший хищник
ENEMY.ELSA	Эльза
ENEMY.FLOATER	Менталист
ENEMY.GNOME	Гном
ENEMY.HEAD	Главарь
ENEMY.HEAD_GRABBER	Хватоглав
ENEMY.HEART_HUGGER	Сердцеед
ENEMY.HIDDEN	Скрытый
ENEMY.HUNTER	Охотник
ENEMY.OOGLY	Углик
ENEMY.ROBE	Мантия
ENEMY.RUNNER	Жнец
ENEMY.SHADOW	Мрак
ENEMY.SLOW_MOUTH	Плевун
ENEMY.SLOW_WALKER	Бродяга
ENEMY.SPINNY	Гамбит
ENEMY.THIN_MAN	Дитя тени
ENEMY.TICK	Клещ
ENEMY.TRICYCLE	Белла
ENEMY.TUMBLER	Повар
ENEMY.UPSCREAM	Крикун
ENEMY.VALUABLE_THROWER	Воришка
UPGRADE_STAND.INTERACT	Удерживать: Обновить ({cost})
ARENA.WINNER.KING	Король неудачников!
ARENA.WINNER.LOSERS	Вы все — неудачники!
ARENA.MESSAGE.LAST_LOSER_STANDING	Последний выживший неудачник
ARENA.MESSAGE.GAME_OVER	Игра окончена
SPECTATE_LIST.HEADER	Сломленные:
ITEM.CART.MODE_STRONG	Режим: Мощный
ITEM.CART.MODE_WEAK	Режим: Слабый
